   1.00000000e-003   9.10102702e+003   2.92105520e+003
   1.17681195e-003   1.10358347e+004   3.02269156e+003
   1.38488637e-003   1.33831676e+004   3.04679701e+003
   1.62975083e-003   1.62336310e+004   2.97148646e+003
   1.91791026e-003   1.96988050e+004   2.78386948e+003
   2.25701972e-003   2.39144058e+004   2.49718314e+003
   2.65608778e-003   2.90413970e+004   2.18943025e+003
   3.12571585e-003   3.52622479e+004   2.06361854e+003
   3.67837977e-003   4.27674905e+004   2.37407907e+003
   4.32876128e-003   5.17247360e+004   3.11130347e+003
   5.09413801e-003   6.22186970e+004   4.02927492e+003
   5.99484250e-003   7.41484747e+004   4.86240837e+003
   7.05480231e-003   8.70731456e+004   5.37117220e+003
   8.30217568e-003   1.00020462e+005   5.37244334e+003
   9.77009957e-003   1.11331717e+005   4.82643693e+003
   1.14975700e-002   1.18707044e+005   3.97717255e+003
   1.35304777e-002   1.19673288e+005   3.42090865e+003
   1.59228279e-002   1.12559663e+005   3.51253333e+003
   1.87381742e-002   9.76167092e+004   3.67563576e+003
   2.20513074e-002   7.74365142e+004   3.33608923e+003
   2.59502421e-002   5.60468425e+004   2.50990515e+003
   3.05385551e-002   3.71410334e+004   1.55911517e+003
   3.59381366e-002   2.27296116e+004   8.33908320e+002
   4.22924287e-002   1.29989002e+004   4.76842750e+002
   4.97702356e-002   7.03756818e+003   3.61671309e+002
   5.85702082e-002   3.65179659e+003   2.88673973e+002
   6.89261210e-002   1.83577613e+003   2.10615251e+002
   8.11130831e-002   9.01869115e+002   1.40412698e+002
   9.54548457e-002   4.35905857e+002   8.73445120e+001
   1.12332403e-001   2.08318401e+002   5.16085240e+001
   1.32194115e-001   9.87873943e+001   2.93435969e+001
   1.55567614e-001   4.66020381e+001   1.62048969e+001
   1.83073828e-001   2.19073304e+001   8.75017883e+000
   2.15443469e-001   1.02746275e+001   4.64225933e+000
   2.53536449e-001   4.81147728e+000   2.42847128e+000
   2.98364724e-001   2.25089819e+000   1.25598611e+000
   3.51119173e-001   1.05232629e+000   6.43519738e-001
   4.13201240e-001   4.91770453e-001   3.27143389e-001
   4.86260158e-001   2.29751109e-001   1.65211075e-001
   5.72236766e-001   1.07319526e-001   8.29621883e-002
   6.73415066e-001   5.01248872e-002   4.14566163e-002
   7.92482898e-001   2.34098825e-002   2.06276548e-002
   9.32603347e-001   1.09326981e-002   1.02251489e-002
   1.09749877e+000   5.10557569e-003   5.05169450e-003
   1.29154967e+000   2.38427098e-003   2.48832140e-003
   1.51991108e+000   1.11342930e-003   1.22238669e-003
   1.78864953e+000   5.19956953e-004   5.99039330e-004
   2.10490414e+000   2.42812358e-004   2.92915987e-004
   2.47707636e+000   1.13389644e-004   1.42940593e-004
   2.91505306e+000   5.29511661e-005   6.96251378e-005
   3.43046929e+000   2.47273397e-005   3.38562566e-005
   4.03701726e+000   1.15472641e-005   1.64373248e-005
   4.75081016e+000   5.39238270e-006   7.96880628e-006
   5.59081018e+000   2.51815383e-006   3.85807361e-006
   6.57933225e+000   1.17593623e-006   1.86553479e-006
   7.74263683e+000   5.49142758e-007   9.01007145e-007
   9.11162756e+000   2.56440572e-007   4.34688416e-007
   1.07226722e+001   1.19753497e-007   2.09499343e-007
   1.26185688e+001   5.59228971e-008   1.00871651e-007
   1.48496826e+001   2.61150653e-008   4.85246229e-008
   1.74752840e+001   1.21953023e-008   2.33229974e-008
   2.05651231e+001   5.69500380e-009   1.12009901e-008
   2.42012826e+001   2.65947227e-009   5.37523343e-009
   2.84803587e+001   1.24192941e-009   2.57765401e-009
   3.35160265e+001   5.79960425e-010   1.23524883e-009
   3.94420606e+001   2.70831893e-010   5.91564034e-010
   4.64158883e+001   1.26473999e-010   2.83126419e-010
   5.46227722e+001   5.90612585e-011   1.35426362e-010
   6.42807312e+001   2.75806275e-011   6.47414112e-011
   7.56463328e+001   1.28796953e-011   3.09334517e-011
   8.90215085e+001   6.01460393e-012   1.47724412e-011
   1.04761575e+002   2.80872021e-012   7.05120809e-012
   1.23284674e+002   1.31162572e-012   3.36411830e-012
   1.45082878e+002   6.12507442e-013   1.60429405e-012
   1.70735265e+002   2.86030809e-013   7.64732715e-013
   2.00923300e+002   1.33571641e-013   3.64381118e-013
   2.36448941e+002   6.23757393e-014   1.73552002e-013
   2.78255940e+002   2.91284350e-014   8.26299750e-014
   3.27454916e+002   1.36024957e-014   3.93265755e-014
   3.85352859e+002   6.35213972e-015   1.87103145e-014
   4.53487851e+002   2.96634382e-015   8.89873150e-015
   5.33669923e+002   1.38523333e-015   4.23089728e-015
   6.28029144e+002   6.46880974e-016   2.01094064e-015
   7.39072203e+002   3.02082679e-016   9.55505465e-016
   8.69749003e+002   1.41067597e-016   4.53877632e-016
   1.02353102e+003   6.58762265e-017   2.15536268e-016
   1.20450354e+003   3.07631044e-017   1.02325057e-016
   1.41747416e+003   1.43658592e-017   4.85654680e-017
   1.66810054e+003   6.70861781e-018   2.30441558e-017
   1.96304065e+003   3.13281317e-018   1.09316369e-017
   2.31012970e+003   1.46297175e-018   5.18446711e-018
   2.71858824e+003   6.83183528e-019   2.45822024e-018
   3.19926714e+003   3.19035369e-019   1.16530139e-018
   3.76493581e+003   1.48984222e-019   5.52280197e-019
   4.43062146e+003   6.95731589e-020   2.61690053e-019
   5.21400829e+003   3.24895105e-020   1.23972162e-019
   6.13590727e+003   1.51720622e-020   5.87182254e-020
   7.22080902e+003   7.08510122e-021   2.78058331e-020
   8.49753436e+003   3.30862468e-021   1.31648376e-020
   1.00000000e+004   1.54507281e-021   6.23180656e-021
